"Points:0","Points:1","Points:2"
6.2421,2.8216,0
5.5328,3.861,0
-4.2021,-2.2607,0
-5.3483,-1.0858,0
6.5786,0.25172,0
-4.306,2.398,0
6.4475,-4.7164,0
-3.8503,3.0443,0
6.8617,2.9958,0
-6.0734,-0.88573,0
-6.1556,-0.34866,0
1.8295,-3.9432,0
3.4153,-1.9543,0
-6.2507,-1.5625,0
-6.2355,2.9097,0
-5.8807,2.8632,0
6.2369,-0.24455,0
-5.8493,-0.063974,0
-5.4798,0.76735,0
6.7529,-0.53644,0
-5.7533,-1.6448,0
-5.1732,0.39717,0
-5.9228,0.94466,0
-3.5308,1.6414,0
6.6091,-1.3736,0
-6.0537,2.8564,0
-6.4797,2.8267,0
-5.262,3.2043,0
-4.5179,2.4551,0
6.7491,-0.9979,0
-6.3412,2.8166,0
-6.5006,2.537,0
6.3134,-1.2391,0
-6.3546,1.7638,0
-5.3437,1.3137,0
6.8857,-1.4157,0
5.7926,-0.87212,0
5.9861,-2.1462,0
6.0392,-1.4727,0
6.4104,-2.4478,0
-6.1644,0.78669,0
-6.0883,1.5011,0
6.8563,-2.2802,0
4.5698,-4.5901,0
4.8995,-3.1798,0
6.2837,-4.3899,0
6.6629,-3.3888,0
6.5129,-3.2422,0
6.638,-3.714,0
6.3923,-3.0726,0
6.4493,-4.4916,0
-5.9707,0.78811,0
6.4881,-4.1329,0
6.7277,-3.993,0
-6.5966,1.3693,0
6.7581,-4.3727,0
-6.426,0.94296,0
-4.0266,1.6942,0
-6.7161,0.74215,0
-0.96558,5.2845,0
-0.14546,5.4761,0
-6.3936,1.5873,0
-6.3378,1.4436,0
-4.5913,-3.2536,0
-3.9363,-3.3937,0
-0.95483,4.0092,0
-6.3755,0.53665,0
0.03808,-4.0503,0
-1.7364,-3.4726,0
-2.6334,4.9865,0
-2.5035,4.1969,0
-5.5333,1.5618,0
-1.854,-3.6761,0
-5.8811,0.36819,0
-5.9552,2.5062,0
-2.1556,4.7625,0
-1.4649,4.0601,0
-6.4183,-0.99129,0
-0.71345,-3.8212,0
-6.1687,-0.18022,0
-5.8988,0.15436,0
-1.4266,-3.5542,0
-2.561,1.5712,0
-2.2527,0.9587,0
-2.2777,3.2652,0
-5.1509,-0.3182,0
-6.1948,-1.7687,0
-2.1316,2.4274,0
-2.6921,0.8596,0
-1.5163,3.3202,0
-5.4248,2.5974,0
-1.0696,3.4741,0
-1.2519,4.9192,0
-4.7904,2.2913,0
-1.6957,-3.8639,0
-4.9483,0.97542,0
-0.71645,-4.1328,0
-2.3719,4.689,0
-1.4217,4.8369,0
-3.4198,3.9927,0
-2.511,3.7319,0
-2.3811,3.0108,0
-1.5947,3.4949,0
-3.7621,1.6716,0
-1.9561,-3.1813,0
-1.7134,-2.1494,0
-2.8047,1.1542,0
-5.4965,-2.6097,0
-3.5077,0.67285,0
-2.9131,-3.3368,0
-5.2349,4.2587,0
-3.2567,3.2614,0
-3.5201,-2.9551,0
-2.9747,0.62793,0
-4.3892,-3.2712,0
-3.5667,-3.5108,0
-2.4235,3.4105,0
-2.0149,2.8622,0
-2.2729,-3.967,0
-3.2882,1.3009,0
0.29243,3.4466,0
-4.4497,1.0008,0
-3.4745,1.1971,0
-4.2088,3.6978,0
-3.2021,4.4183,0
-3.2046,5.0196,0
-2.5977,-1.0621,0
-3.7018,-3.0435,0
-4.5453,1.6759,0
-4.309,0.46225,0
-6.0175,-0.43975,0
-2.9642,1.3975,0
-2.0833,0.69276,0
-4.8949,-0.97128,0
-5.3335,1.1485,0
-3.7198,-0.40161,0
-2.9528,4.8532,0
-4.6326,0.41912,0
-2.4004,-2.1259,0
-2.7857,4.8271,0
-1.7821,-4.045,0
-2.698,-3.429,0
-2.2797,-3.4287,0
-4.0538,4.1277,0
-5.9712,-3.0069,0
-1.3058,2.1388,0
-2.5925,3.341,0
-1.3068,4.1272,0
